,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,PH4d,PH4h,PHInt,HTrad,RTrad,FPTrad,"
                            #Sampling Factors
                            ""SampleSize"",
                            ""SamplesPSublot"",
                            ""NumberGrabs"",
                            Harvest Wash Red",Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,WashingYN,TotalCFUFP,PH4Int,Harvest Wash Red
0,4540.0,1.0,100000.0,3.940696457804293,-3.995561957638036,True,True,,True,True,True,,3.275367879401633,16.720473332224888,0.5434028646816638,3.7490800052572606,True,5.5644015048921,4.30567322254675,False,0.0,True,1.361030328897045
1,45400000.0,3.0,10000.0,4.082224646990996,-3.3920504690994564,True,True,,True,True,True,,3.6653821348112645,16.171600146519282,0.5087045969754381,3.876578873077556,True,5.404205630291019,5.449207147554828,True,0.0,True,1.1038378906401924
2,45400.0,3.0,1000.0,3.850285411295073,-2.106661958947628,True,True,,True,True,True,,3.8072416260715465,15.75246224696243,0.5669574970920318,3.751285304703424,True,5.770146882940276,5.073443374456523,False,34.0,True,1.383542266869926
3,454000.0,4.0,10000.0,3.311842564880286,-2.355261638828119,True,True,,True,True,True,,2.5861073347741432,15.485317177508177,0.41798223734753354,3.425610267119853,True,6.631557998704391,5.662701806486668,False,18.0,True,1.306339973366908
4,45400000.0,2.0,100.0,5.547704745753288,-5.333243078250751,True,True,,True,True,True,,3.9208926674633764,16.581434014754063,0.48519560404028617,3.070341461837161,True,6.177416391981782,5.6455186494444005,True,0.0,True,1.1148771549556145
5,45400.0,1.0,100000.0,2.7331731148232343,-1.6775328965417218,True,True,,True,True,True,,3.0400548876811357,16.44902699098524,0.4631500753096138,3.1678783352657796,True,6.838765289722061,5.080689224396253,False,25.0,True,1.3070735456805713
6,454000000.0,2.0,1000.0,4.629882651305616,-4.658146370497902,True,True,,True,True,True,,3.8688889432620046,16.330147947157215,0.5404599846918735,3.4947380667421224,False,6.269177391642958,4.7390870859048055,True,0.0,True,1.2242731436962377
7,454000.0,1.0,1000.0,3.567335490167354,-3.3884625862782443,True,True,,True,True,True,,2.1475001649946424,15.782338236860042,0.4949267999382151,3.9249608731476657,True,6.381406471229455,4.525824445087524,False,3.0,True,1.297351004272766
8,454000.0,2.0,1000.0,4.341989540095733,-2.600034641448033,True,True,,True,True,True,,3.745556835361463,15.978677585279346,0.5165191245858533,3.763831239414384,True,5.066337938053348,4.716360705607898,True,6.0,True,1.3778639986440522
9,45400000.0,1.0,1000.0,4.349780945848645,-3.880515897399252,True,True,,True,True,True,,2.9858317827002425,16.975290539605904,0.5896156168864881,3.469940624468577,False,5.902628696308462,4.477292312453761,False,0.0,True,1.152934803792209
10,454000000.0,3.0,1000.0,6.09717711089782,-2.6764695227343775,True,True,,True,True,True,,3.2247081992995685,15.210547255381304,0.5400087045049833,3.5891533016882766,True,6.234594354599784,5.852870625675886,False,0.0,True,1.188366512165068
11,45400000.0,2.0,1000.0,4.859702540744651,-4.221548575922172,True,True,,True,True,True,,3.509623997644365,16.865344791500192,0.5846375630258189,3.4527318295535263,True,5.9347450831440245,4.601325671163615,False,0.0,True,1.3692703068621357
12,454000.0,3.0,10000.0,5.326111053373852,-5.177753742163719,True,True,,True,True,True,,3.469246726163269,15.462617834635449,0.5302967632898907,3.3770716871508215,False,6.059989497328802,5.6304693402898724,False,0.0,True,1.1441444168046597
13,4540.0,2.0,10000.0,2.796317868858444,-1.951832071685805,True,True,,True,True,True,,3.420580906590053,16.1285837413743,0.5884272903176596,3.3630024506154426,False,5.413103171507105,4.639512526079169,True,0.0,True,1.2303520957297704
14,4540000.0,4.0,100.0,4.1694215813046585,-2.9410811881005356,True,True,,True,True,True,,2.8020255713614275,16.85669711863219,0.5233101434910362,3.4830942884020057,True,5.663546420383638,5.421879597205634,True,0.0,True,1.3287137846328572
15,45400.0,2.0,1000.0,4.552181896866665,-3.5753491178821184,True,True,,True,True,True,,2.165601073025685,15.317938608516977,0.4558765763624905,3.6994792336041753,True,5.942985657877252,5.69960805790819,False,88.0,True,1.2366389731660048
16,454000.0,1.0,10000.0,3.818148852077556,-2.307947741112128,True,True,,True,True,True,,2.5468994705845365,16.496498343232194,0.5922665647858248,3.379651644145549,True,6.386977963243147,5.484087785010666,False,174.0,True,1.1163736015262606
17,45400.0,3.0,10000.0,7.247644428115493,-2.967075175964272,True,True,,True,True,True,,3.808584454928877,16.518272563059668,0.48504271932510684,3.7918446384957343,True,6.744548110823072,5.117809029172571,False,340.0,True,1.2341204596790785
18,454000000.0,2.0,10000.0,4.028652303154251,-2.626001652656296,True,True,,True,True,True,,2.872129125667948,15.880732271493962,0.47131072064163043,3.7520533962604103,False,6.569747914577718,5.007476435016765,True,0.0,True,1.3148733279885354
19,45400000.0,1.0,100000.0,4.922109400575711,-4.483578514656577,True,True,,True,True,True,,2.1741097541019863,16.468783138715775,0.5305340772409577,3.7130829571049944,False,6.8644567434446895,4.402058522257437,False,150.0,True,1.1897979770493476
20,45400000.0,1.0,10000.0,3.804373531379629,-3.7629246193413715,True,True,,True,True,True,,2.569228135887486,16.18480760385391,0.46870935011768633,3.860025066996332,True,6.978223063669958,5.280923099448441,False,0.0,True,1.2435071161326763
21,4540.0,3.0,10000.0,6.881597347263502,-6.348372545517554,True,True,,True,True,True,,3.2548420193858134,16.13471490326609,0.4490744243263611,3.192876387740563,True,5.4954819320425194,4.604017230033964,True,0.0,True,1.2005801825529683
22,454000000.0,2.0,1000.0,3.349082542365131,-1.5048645325661179,True,True,,True,True,True,,2.804368431159662,16.200580886511457,0.5001258999253615,3.166476532347372,False,5.640150549394733,5.2123818541022295,True,0.0,True,1.1658993059673246
23,454000000.0,3.0,100.0,6.127649326173373,-4.310491095489002,True,True,,True,True,True,,3.0406495376747804,16.10298433951894,0.49109765679942713,3.1377048259997613,True,6.463469111508242,4.390123035411514,True,0.0,True,1.253372338941306
24,45400000.0,3.0,10000.0,4.5260688821396755,-4.390804045332381,True,True,,True,True,True,,2.984675749122543,16.394371754456788,0.43320738138625714,3.472262283039413,True,5.059368601000964,5.1500530026603055,False,0.0,True,1.3897344554275564
25,454000.0,4.0,1000.0,3.584731663870116,-2.5160312201093413,True,True,,True,True,True,,2.191832827156196,15.71393198498305,0.5878171516217087,3.3291416685995405,False,6.297481397959171,4.205673677250426,False,4.0,True,1.209527122492253
26,454000000.0,3.0,10000.0,4.626478639966452,-3.530281364624244,True,True,,True,True,True,,3.884606339595064,16.875736252842017,0.4035773841739573,3.035592904970114,True,5.666477306928276,5.156545860603136,True,0.0,True,1.3394386524492936
27,45400000.0,1.0,100000.0,5.844565896537883,-4.18457041047907,True,True,,True,True,True,,3.663214697705053,15.89452076662768,0.5488394102432181,3.5933364938658476,False,6.531878398828549,4.641286067478335,True,109.0,True,1.3389770359483875
28,45400000.0,1.0,10000.0,3.672237433103047,-3.501978806612734,True,True,,True,True,True,,2.953481396477307,15.72961019216051,0.5799937185759383,3.3867820854419968,True,6.806290501120445,4.925796847549021,True,0.0,True,1.2006652893939451
29,4540.0,1.0,100000.0,4.349184635044271,-4.376729835088568,True,True,,True,True,True,,3.306655125697068,16.799273330506242,0.559816038658087,3.1535597753847324,False,5.000325612513791,5.268455082091865,True,0.0,True,1.1590279512076913
30,4540.0,1.0,100.0,4.893753028822951,-4.954303005335356,True,True,,True,True,True,,3.269377695015771,15.569113590088316,0.5644204582054484,3.4746911777282263,True,5.1335793296200505,4.976754759751526,True,0.0,True,1.1939348433039574
31,454000000.0,2.0,1000.0,6.650222610042076,-5.452564180303368,True,True,,True,True,True,,3.525800421531435,16.352271116066646,0.5595051169207735,3.3373538317547538,False,6.719758044367227,4.705057172760036,False,1.0,True,1.3274483878451497
