,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
257,100000.0,100000.0,6.501483069999361,-5.453199961777666,3.262870990137394,16.48458516922164,0.5518060945791516,3.1405759557836945,False,5.648611551833836,4.498443190895604,1.3903962166790962,False,False,1.3903962166790962,0.18358049486979927,0.0018616084857219276,0.25,2500.0,-2.0,0.18994535443960384,0.007973414470778178,0.25,7500.0,-4.0,0.27315469561769096,0.0018825680771289758,0.0,2500.0,-3.0,0.2748145816903218,0.005274547102016466,0.75,2500.0,-3.0,24.0,5.1965015198251665,63.57,3.917422397939905,24.0,4.0,3.0,0.0001
258,100000.0,1000.0,1.645621549831534,-1.4520167298877849,2.8264943508781153,16.415540541054863,0.40421178277689285,3.8294973608176983,True,6.7952636425484725,4.852916910043315,1.3368562093126504,True,True,1.3368562093126504,0.22583787647942005,0.0021877851697031684,0.75,5000.0,-1.0,0.1969640313234989,0.009847215776816656,0.5,5000.0,-2.0,0.27514140581157215,0.0006735885254237003,0.5,5000.0,-2.0,0.2722361460120468,0.007149879798721026,0.75,5000.0,-1.0,24.0,5.142263379400723,63.57,3.1810828625081142,24.0,4.0,28.0,0.00135
259,100000.0,1000.0,4.851514182348614,-2.747528995929894,2.5322710226671594,16.750851821306014,0.5417060260505101,3.8633012548147483,False,6.6218629997139695,5.210100721014445,1.1363044149097687,False,True,1.1363044149097687,0.22800082264171947,0.0019690003272982534,1.0,7500.0,-1.0,0.17706699611051388,0.004662211803733496,0.25,5000.0,-4.0,0.22123472312978937,0.0017652745981399857,0.5,5000.0,-4.0,0.2894519433295775,0.0033021001063325865,0.25,7500.0,-4.0,24.0,5.899126004234408,63.57,2.9773045015939195,24.0,4.0,35.0,0.00145
260,100000.0,100000.0,1.7582877002966735,-1.453834333747859,2.518668699826502,16.559626328162494,0.5274957771335641,3.1703888015537234,True,5.821458800204435,5.689452634846066,1.1783285634557705,False,False,1.1783285634557705,0.19645070454561064,0.0017569431883170503,1.0,7500.0,-3.0,0.1695179269177256,0.00691657809350671,0.5,5000.0,-2.0,0.26825151033601435,0.001726533981022947,0.5,2500.0,-3.0,0.2972614198189782,0.009757409571624685,0.0,2500.0,-1.0,24.0,5.319975391075285,63.57,3.1698109020486154,24.0,4.0,1394.0,0.06655
261,100000.0,1000.0,5.476104115627479,-4.122344907155087,3.654213337054744,16.21773091613091,0.4135838596915494,3.7110065052553542,False,6.888312384290225,4.285858871031369,1.2748918498527757,False,False,1.2748918498527757,0.20344027328848296,0.0010036835472063289,1.0,2500.0,-4.0,0.19932932012531338,0.005822920110056442,0.25,2500.0,-2.0,0.2613397147502249,0.0020958298838387387,0.0,5000.0,-2.0,0.2771391281747587,0.002932157170173504,0.75,5000.0,-3.0,24.0,5.396022038722191,63.57,2.9047401456610134,24.0,4.0,0.0,0.0
262,100000.0,10000.0,3.5424418734676,-2.5181114897393995,3.1169110907479554,16.532990377135064,0.588356244040878,3.2322376006353086,True,5.130236214275275,4.403713417397863,1.3594186693292696,False,True,1.3594186693292696,0.20625696604778893,0.002400871215187788,0.5,2500.0,-1.0,0.1969067387956736,0.0055151185221224775,0.0,2500.0,-4.0,0.2680897782211748,0.0015653082333225853,0.75,5000.0,-1.0,0.29466291034260605,0.0049791677179005425,1.0,5000.0,-1.0,24.0,4.900664778088723,63.57,4.4350124807741285,24.0,4.0,27.0,0.00135
263,100000.0,10000.0,4.3047437366108365,-2.8794829822634114,3.134535619406105,16.043205181836342,0.5833820182467176,3.2068710106971237,False,6.983021622051574,4.799280347973271,1.37283162403751,True,False,1.37283162403751,0.24242705146653942,0.0036456008490155837,0.0,5000.0,-1.0,0.18960246064654887,0.00819742748862994,0.75,7500.0,-1.0,0.08549028611288234,0.0012815330889730699,0.5,5000.0,-4.0,0.24543810767093233,0.013823218824129221,0.25,5000.0,-2.0,24.0,4.491331625854909,63.57,3.9869115711073677,24.0,4.0,5.0,0.00025
264,100000.0,100000.0,5.325473849866233,-3.3019483258933717,3.1453523541334487,15.086713435850845,0.5239968741176029,3.1010676990058634,True,6.113015678902472,4.9844572825802285,1.2095186828752027,True,True,1.2095186828752027,0.18006848961481922,0.003955036551224827,0.5,2500.0,-2.0,0.20373932657281235,0.00559116712946085,0.0,5000.0,-4.0,0.12481350808471267,0.0009350560812801494,0.75,5000.0,-2.0,0.26328180429828363,0.0033740614541510204,0.75,7500.0,-4.0,24.0,5.543025828798701,63.57,2.3823978513289426,24.0,4.0,0.0,0.0
265,100000.0,100000.0,4.088674228749682,-3.393899559647859,2.242920960262796,15.040013316707165,0.5566603916253623,3.5623480023459466,False,5.284055754636652,5.325623513711113,1.3496702983114914,False,False,1.3496702983114914,0.21543642542755204,0.0040853832674451135,1.0,5000.0,-3.0,0.2179380159748787,0.0068017822587133755,0.5,5000.0,-3.0,0.2031793878124316,0.0009976541620147278,0.75,5000.0,-1.0,0.27988974884576967,0.009673746164467653,1.0,2500.0,-4.0,24.0,4.536844392038776,63.57,3.8659464744504595,24.0,4.0,5.0,0.00025
266,100000.0,100000.0,1.5966371096669347,-1.2806737385951903,2.4887683671328107,15.853900783666905,0.5466501411097496,3.896383618770556,True,6.999578255885758,4.239968005592543,1.1008839347066606,True,True,1.1008839347066606,0.2070190812253605,0.0007244359981139229,0.5,2500.0,-3.0,0.1579968435682889,0.007530412154951836,1.0,5000.0,-1.0,0.29148521341405476,0.0018904655413997345,1.0,2500.0,-3.0,0.27761912562301,0.005256689597235612,1.0,2500.0,-1.0,24.0,5.7339041391327,63.57,3.61512128974648,24.0,4.0,16.0,0.0008
