,InitialCont,ClusterSize,Time_CE_H,Time_H_PC,Temp_H_PC,Time_Precooling,Temp_Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
269,100000.0,10000.0,2.8750973305976517,2.9694683757360103,16.63596867435415,0.41323816395656104,3.346806492220506,True,0.0,5.6638484275273004,1.1476803258935557,0.24207400905233334,0.002775140252388822,0.5,2500.0,-3.0,0.2114726110799822,0.006427203598790145,0.0,2500.0,-2.0,0.20051215095747169,0.0007305916362142879,0.5,2500.0,-3.0,0.26561963865924715,0.010737251658051852,0.75,7500.0,-2.0,24.0,4.852533924566162,63.57,2.867217635597795,24.0,4.0,0.0,0.0
270,100000.0,10000.0,4.87142179183428,2.096316005472851,16.80688372307489,0.427271166324721,3.1630170350322486,True,0.0,4.422824581113822,1.3910346125861694,0.19432523483751096,0.0022139987776172592,0.75,5000.0,-3.0,0.19600428942314707,0.005808642308629922,0.75,2500.0,-4.0,0.15810506171309519,0.0013989543956305275,0.0,7500.0,-1.0,0.27526472846262706,0.009895668333018675,0.75,5000.0,-2.0,24.0,4.846250656460896,63.57,1.6023491868415938,24.0,4.0,0.0,0.0
271,100000.0,100000.0,4.600634164582884,2.171462377354147,16.27327029470726,0.48964325503341677,3.6764862831797576,True,0.0,4.575754983201431,1.221550907244589,0.21025903087653447,0.0013351688526068546,0.0,5000.0,-1.0,0.1576984171112909,0.00329103127051837,0.5,7500.0,-3.0,0.26934178769381967,0.000759291952117251,0.5,2500.0,-1.0,0.280914642380402,0.0006951833904246714,0.25,7500.0,-4.0,24.0,5.513985272476866,63.57,4.353973405943397,24.0,4.0,0.0,0.0
272,100000.0,10000.0,2.8155029973834336,3.8757959194923464,15.61201924458404,0.4930699616964809,3.1736545656949136,True,0.0,4.444787708833664,1.4162854590457805,0.19077304837087555,0.0038547067919857472,0.0,5000.0,-2.0,0.18143614114268874,0.0031271215608360083,0.25,2500.0,-1.0,0.18393287140764397,0.0022689085690676463,1.0,2500.0,-3.0,0.264397774730741,0.010026740930718682,1.0,7500.0,-2.0,24.0,5.522850983508988,63.57,1.112843716564709,24.0,4.0,1.0,5e-05
273,100000.0,100000.0,1.525553742107305,2.1271395208568737,15.009721285318868,0.5026656203934995,3.917129092147073,True,0.0,5.542579719863108,1.1233799541090583,0.20772224826256108,0.0006199505806651757,0.5,2500.0,-3.0,0.192459645956834,0.0016086670027098137,0.75,2500.0,-4.0,0.2520260916785705,0.0008127011477382698,0.5,2500.0,-4.0,0.29681464645630795,0.0017458777760494767,0.75,7500.0,-1.0,24.0,4.751528069334546,63.57,4.0772488453909626,24.0,4.0,27.0,0.00135
274,100000.0,1000.0,3.006634841063252,2.318636571584846,15.188686638375138,0.5060126072037963,3.026033254689212,True,0.0,5.912581321132235,1.3162701484064965,0.19753245462571395,0.0012021142969400585,0.5,2500.0,-3.0,0.19409530302170572,0.010586554002253543,1.0,7500.0,-4.0,0.27244075192177064,0.0006941497033138848,0.75,2500.0,-4.0,0.26665663315597243,0.004077743592942943,1.0,7500.0,-2.0,24.0,5.469498631474836,63.57,1.8865231929693043,24.0,4.0,2.0,0.0001
275,100000.0,10000.0,3.740896062280255,3.9773827726437343,16.858394294005397,0.4205998181972183,3.232857523171684,True,0.0,4.233035310375773,1.3721504924211725,0.2245066043275051,0.003689021741098226,1.0,7500.0,-3.0,0.18268826691703782,0.001942402086635773,0.0,7500.0,-1.0,0.19920833175127337,0.0009506371190331508,0.25,2500.0,-2.0,0.2767691512178194,0.00528946140296787,1.0,5000.0,-2.0,24.0,5.140222180083136,63.57,3.6240521431006716,24.0,4.0,0.0,0.0
276,100000.0,100000.0,6.9233945753790636,2.453474871985377,15.024813400263898,0.5975492827836602,3.8743503629729203,True,0.0,5.90673707101465,1.4518094948508364,0.21357309087983967,0.003101444055846903,0.75,7500.0,-1.0,0.17832801268523613,0.006850420374497843,0.5,2500.0,-2.0,0.10043667093869489,0.0018974362667177858,0.5,5000.0,-4.0,0.27655736247651025,0.0038965776552825956,0.5,5000.0,-1.0,24.0,4.388588210366402,63.57,3.065345350088149,24.0,4.0,0.0,0.0
277,100000.0,10000.0,3.937534211883444,2.109358173609072,16.308109977778994,0.4393175193757727,3.7014873778179216,True,0.0,5.602735537235192,1.2177173098058294,0.20958810369214703,0.00245875933646846,0.25,2500.0,-4.0,0.18192015118086188,0.005319397128372023,0.25,5000.0,-2.0,0.18581775696614036,0.001513158868510573,0.5,5000.0,-3.0,0.2879724827332875,0.0010200669359353058,0.0,2500.0,-1.0,24.0,5.8506521857372755,63.57,4.787330103038355,24.0,4.0,11.0,0.00055
278,100000.0,10000.0,2.5032635127807303,3.0385671230028306,16.476287025307897,0.5216014813893622,3.2591761707212403,True,0.0,5.644762748758961,1.4266021506159188,0.20020946090151112,0.0013292263567803227,0.5,7500.0,-3.0,0.1923659025869694,0.008143272916073762,0.75,7500.0,-2.0,0.25972479086184863,0.0008436187702737024,1.0,7500.0,-3.0,0.2646679396781192,0.003381071589024568,0.25,2500.0,-1.0,24.0,4.195235817557339,63.57,5.000221466787066,24.0,4.0,0.0,0.0
279,100000.0,100000.0,4.359285971738107,3.6694447329090725,16.47156326799348,0.4566960202915575,3.0255916385625663,True,0.0,5.891045761649192,1.2775322856661255,0.21718849160836912,0.0035063651321250227,1.0,5000.0,-3.0,0.1826658988117156,0.00740729806930756,0.75,5000.0,-2.0,0.09547629968991836,0.0013592885079067724,0.25,2500.0,-3.0,0.2711203367526984,0.0016413014445180829,0.5,5000.0,-2.0,24.0,5.814068530397099,63.57,4.86654505801094,24.0,4.0,1.0,5e-05
