,ClusterSize,Time_CE_H,Time_H_PC,Temp_H_PC,Time_Precooling,Temp_Precooling,Time_Storage_R,Temp_Storage_R,ChSpray_eff,TotalRedPre_wash,TotalRed_wash,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
302,1000.0,4.588401956410025,2.6832894688525,16.4792785123782,0.4938313772686221,3.5427906335375265,0.5456665670785761,3.839184797744839,1.397015242813123,-5.0,0.0,0.20655653544855634,0.0007212699541643954,1.0,5000.0,-1.0,0.17278906692702953,0.0023642078500497508,0.0,5000.0,-1.0,0.18707098970001212,0.0005386278174860477,0.75,2500.0,-1.0,0.28582034254731886,0.004541015354601923,0.5,2500.0,-3.0,0.26512181877622076,5.3132043459901634,41.9007009748025,2.790481249364627,35.12751262684045,9.462862708979353,0.0,0.0
303,10000.0,5.172412609604173,3.1015885690645497,16.621783718926185,0.5242346282139485,3.435283033121355,0.18703278361280962,6.3524521031753105,1.2011726256789665,-71.0,-6.0,0.2224819588053745,0.001388196901349782,1.0,5000.0,-3.0,0.17156460457282083,0.0014177410436238948,0.0,2500.0,-1.0,0.2746361186173375,0.0018373023435341233,0.75,7500.0,-2.0,0.27156942399554357,0.015433421572544305,1.0,7500.0,-3.0,0.4069006830086611,5.024748208403962,47.49453534292499,4.003748612538688,48.29248758868394,4.899825064352315,0.0,0.0
304,10000.0,3.651772673409341,3.8785592973543013,15.818643416396945,0.4694156008399737,3.409256546337593,0.6025004382146482,10.964518343908416,1.3986680580019566,-141.0,-5.0,0.1901024121793412,0.0008177067142239345,1.0,5000.0,-4.0,0.17246458808251833,0.008212092845246023,0.25,5000.0,-2.0,0.262353767699044,0.0014380049402763096,0.75,7500.0,-1.0,0.24930687822577924,0.004925787570275834,0.0,5000.0,-2.0,0.059292036204401155,4.3701844845934765,62.08482169312644,3.8287847297547364,31.95532187883228,6.677778084514063,0.0,0.0
305,1000.0,2.2283015079420223,3.039171004159825,15.842009932623693,0.49617966624112475,3.6044895584617342,0.9810341443333886,7.054657801455872,1.4057469125237803,-1774.0,-64.0,0.21820947164313265,0.0028357510580644713,0.25,2500.0,-2.0,0.16134927415839156,0.007048651559136201,1.0,5000.0,-4.0,0.26517963235945524,0.0008347239207600653,1.0,7500.0,-4.0,0.25134448748422233,0.009427565869282709,0.25,2500.0,-4.0,0.36371035603073665,5.179547168470158,34.55260020842339,4.4629841897473135,49.938911492342605,11.194229325179695,3.0,0.00015
306,100000.0,3.046753232758627,2.6481632350977953,15.97940509421401,0.5754554930001379,3.80253580974387,0.9971981748783976,6.213904024344334,1.44379767831482,-1550.0,-58.0,0.2559271844968329,0.0020014049161592275,0.5,2500.0,-2.0,0.16893819833738705,0.011355083816689064,0.25,7500.0,-2.0,0.18409673596362325,0.001222791311391269,0.0,5000.0,-3.0,0.2723366792821638,0.00848445744167284,0.5,2500.0,-2.0,0.13335886202901326,5.780833814939392,82.8766284213072,4.179792593028143,55.31404011092243,7.452654653573193,1.0,5e-05
307,10000.0,3.2031534197524616,2.8073834373256563,16.764581552314183,0.5584548142293603,3.023057775167054,0.48826610164698947,6.9085845557577965,1.2507026311129457,-2733.0,-163.0,0.19474423310931696,0.005121852105703156,0.0,5000.0,-2.0,0.16231092035456926,0.011946806904710238,0.25,5000.0,-3.0,0.22797406440963452,0.0017031099384409252,0.5,7500.0,-3.0,0.2726376771567871,0.005878010492020696,0.75,5000.0,-3.0,0.4495559410430744,5.395772819663767,83.01743879004886,3.205559574530132,56.274364119105314,9.15128991128245,1.0,5e-05
308,100000.0,5.373750421709866,2.0430698804332623,16.17605114268621,0.42281343820072875,3.0789264192336434,0.5537155363447223,5.099072354678871,1.347990598229516,-1.0,0.0,0.20015947779466386,0.002563275041979083,0.0,7500.0,-2.0,0.18789460980610156,0.006535651194857224,1.0,5000.0,-2.0,0.1720763297183404,0.0017557902877016933,0.0,5000.0,-1.0,0.28432426729991184,0.0035307421588124475,0.75,2500.0,-1.0,0.9457673980384107,4.685528209480428,35.806118536116664,1.1589294562288315,25.371340666710502,1.2141784731942198,0.0,0.0
309,10000.0,5.3950934181831816,3.614720057086404,15.976240615672884,0.4605501867161276,3.6650471398169295,0.26978931149071517,4.495755987041425,1.3921423338554118,-75.0,-2.0,0.19098733195173362,0.002259604359409906,0.25,5000.0,-4.0,0.18249930382052731,0.004226405159054693,0.0,2500.0,-3.0,0.20140907827600055,0.0005287068377332234,0.0,2500.0,-3.0,0.27355464898106074,0.004117371520023484,0.75,2500.0,-3.0,0.5021542405469069,4.7051700215211945,65.17915644070456,1.7508751727698875,57.5570504268121,11.254154945716994,0.0,0.0
310,1000.0,5.590149223560918,3.9495115293735017,16.220900480259296,0.5565388676139027,3.3128614347498733,0.06073407684406118,8.657482321965592,1.3406846974657964,-1309.0,-57.0,0.21543825154392532,0.0020210961839017202,0.25,7500.0,-2.0,0.18761350805538488,0.008449255399255893,0.0,7500.0,-4.0,0.21072181966087097,0.0019202176782727011,0.5,2500.0,-1.0,0.25697503653644443,0.0022428060445932514,0.25,5000.0,-1.0,0.7903165670276331,5.045548206617277,69.99310374600441,3.1968150354979,55.65685369093477,1.7030317995362234,0.0,0.0
311,10000.0,3.813824440102862,3.4702049655148866,15.93013636201082,0.43791337351779747,3.6154471314613255,0.29437916276715814,6.925995604844007,1.2582214143728276,-3563.0,-208.0,0.21375509658922198,0.0030002767310377937,0.75,7500.0,-1.0,0.17399952846998454,0.0038411774266195156,0.25,2500.0,-2.0,0.17948897484285023,0.000974036480205478,0.75,2500.0,-2.0,0.29273530099357964,0.0012201023635447876,1.0,7500.0,-2.0,0.29969396565874895,4.622576723254775,55.47984125194233,4.252439315684825,31.778157130081333,8.064001502560604,7.0,0.00035
