,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,TotalCFUFP,PropCont,No Clusters
333,32693.297773634647,,100000.0,3.9373124521004756,-2.864143373699128,2.4516783629240564,15.426822815505709,0.5189448274585338,3.36863237878934,False,6.136826610087487,4.178819106033833,1.1959598162589098,True,False,0.20699334499235633,0.004351413194188286,0.75,2500.0,-3.0,0.2007572922589386,0.00776030187742331,1.0,7500.0,-2.0,0.1915014587932036,0.0006474855770840873,0.5,7500.0,-3.0,0.2625323770503012,0.010903546336764339,0.0,7500.0,-2.0,44.0,0.0022,1.0
334,130595.44079911534,,300.0,5.6385070457703605,-5.197578513027037,2.9495954826510413,16.44777094337778,0.4542221047252766,3.431863038726827,False,5.276701186440729,4.878125063803189,1.1561365294258155,True,True,0.20085180989743828,0.0001727059751642079,0.25,7500.0,-4.0,0.18176417079012278,0.010998953051330904,0.25,2500.0,-3.0,0.14005724628716795,0.0034010424994828947,0.5,7500.0,-4.0,0.2769482688074224,0.006846481033447876,1.0,2500.0,-2.0,0.0,0.0,1.0
335,165319.17649740877,,100000.0,2.159882192975111,-1.51910329061586,2.204664396286093,16.126243094500992,0.5094755899438359,3.807350509768938,False,5.663259579148446,5.578804254526233,1.2415043323726016,True,False,0.19967691992735678,0.0014580904606060442,1.0,7500.0,-4.0,0.19182991836891392,0.003702572588283549,0.5,5000.0,-4.0,0.2441010668003672,0.0018707223338405704,0.0,2500.0,-3.0,0.2631591733657954,0.013688129302589041,0.0,2500.0,-4.0,0.0,0.0,1.0
336,194352.79746011208,,100000.0,5.28426575709844,-3.5439165661845387,2.925981225636262,16.162579847521936,0.41927683059903814,3.5195609606918556,True,6.907077449269776,4.370814502906815,1.2957100227926546,True,True,0.2125802849832077,0.0026145209868755396,0.25,5000.0,-1.0,0.15943840311766505,0.00826391064141446,0.5,2500.0,-2.0,0.25028269180521956,0.002427534548539405,0.5,5000.0,-4.0,0.2746113741213771,0.009766013290722651,1.0,5000.0,-3.0,2.0,0.0001,1.0
337,5845782.82021626,,100000.0,3.4074058591173784,-3.327771536467716,3.967911609572406,16.94666548953766,0.549717741100126,3.2588753806275244,True,6.655349713520336,5.541119753039188,1.3112974788391254,True,False,0.1898220740932924,0.0002027000288334234,0.75,5000.0,-1.0,0.2009268996291384,0.006646309851500662,0.25,5000.0,-3.0,0.26699897475670975,0.0027426173663787166,1.0,7500.0,-3.0,0.2761168043182694,0.0005815786158834301,0.5,5000.0,-2.0,3969.0,0.17945,1.0
338,21875.468604477504,,100000.0,2.878219872668741,-2.422823411083382,3.4983571787708323,16.540429273598644,0.5031190678723283,3.3299081585140247,True,5.099818746015144,5.411807815285122,1.4392546193433753,False,True,0.22511701197919604,0.0009112641403790254,0.75,2500.0,-2.0,0.1629050317377035,0.002871395383068642,0.5,7500.0,-1.0,0.16701246665201336,0.0022304116588446688,1.0,2500.0,-1.0,0.24062707845331385,0.004599267642140945,0.25,5000.0,-2.0,3.0,0.00015,1.0
339,155127.3976423809,,300.0,0.5512527165321228,-0.4088264737239527,3.5833612222702036,15.74320110615219,0.5516016413680701,3.003817453406463,False,5.346612827293036,4.468906406260752,1.2551687012922947,False,False,0.17483327468917712,0.0015775200978428694,0.5,7500.0,-4.0,0.16122346891323355,0.006227301808697269,0.25,2500.0,-2.0,0.27520874035310783,0.0008804621511625684,0.0,2500.0,-1.0,0.25851568584676776,0.002351616874988279,0.0,2500.0,-3.0,69321.0,0.04,1.0
340,147503.18624438733,,100000.0,1.9908958644118517,-1.202797203593789,2.38207546529763,16.311331363967707,0.5700420866315348,3.2495644183893324,False,6.80410380677818,5.892463671171147,1.283683997466782,True,False,0.24909341487763825,0.003823030817398588,1.0,2500.0,-3.0,0.19231500872675383,0.008690716712712664,0.25,7500.0,-4.0,0.12683524686185904,0.0019344605014347046,0.25,2500.0,-4.0,0.2571092828207409,0.005273081484212372,0.75,5000.0,-1.0,11656.0,0.4441,1.0
341,149343.37316882735,,100000.0,4.164049110248566,-2.525717730234661,3.1427223653173946,15.262877504638185,0.5276063909296771,3.5252009906844677,True,5.345586210073769,5.521435879007054,1.4368339444672902,True,True,0.22651206720513314,0.0015056604191894085,0.5,2500.0,-3.0,0.18749794227245306,0.003138244025932642,1.0,7500.0,-1.0,0.2035867602853287,0.0020714359625692205,0.0,5000.0,-4.0,0.26835339010478126,0.004469455807985015,0.0,2500.0,-2.0,57.0,0.00285,1.0
342,129053.58923805835,,100000.0,3.5081042748095492,-3.086997399258643,2.796275924203553,16.69350763763301,0.566162394242528,3.8203170932553974,True,5.596400950234933,5.973823801212897,1.3403494399808562,True,True,0.21956585794731306,0.004295531775905523,0.25,7500.0,-4.0,0.1780414952509321,0.003949086525182405,1.0,5000.0,-3.0,0.2538231947403816,0.0009151437894287929,0.0,5000.0,-4.0,0.24559279179849502,0.004820148768230666,0.5,5000.0,-1.0,5.0,0.00025,1.0
343,154077.76849805404,,300.0,0.5151759022850527,-0.298704100363276,2.1334869725257293,15.93343204940307,0.5215236099571562,3.528817388721058,False,5.714642190071199,4.957774202049081,1.3060133608999611,True,False,0.2104520937010682,0.0019715984178537206,0.25,7500.0,-4.0,0.17665079257665212,0.009648463493135924,0.0,7500.0,-4.0,0.17001587863797868,0.0004397106014562867,0.5,5000.0,-4.0,0.2749788629221108,0.008846970630007063,0.5,2500.0,-1.0,77846.0,0.04375,1.0
