,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,SampleSize,SamplesPSublot,NumberGrabs,Harvest Wash Red,Pre_cooling,WashingYN,TotalCFUFP
0,454000.0,1.0,100000.0,4.256414858359783,-3.4532768373068414,240.0,2.0,240.0,1.2128605227364289,False,False,0.0
1,4540000.0,4.0,1000.0,5.804166377766139,-4.116924871081104,1200.0,1.0,240.0,1.3727406247227765,False,False,0.0
2,4540000.0,3.0,1000.0,5.988987874815091,-5.035928776568449,1200.0,3.0,60.0,1.359934031396898,False,True,0.0
3,4540000.0,4.0,1000.0,4.702724306113707,-3.7029477371261947,240.0,9.0,240.0,1.3509576108113435,True,False,0.0
4,4540.0,4.0,100.0,3.9622437320583175,-2.683635455343522,240.0,2.0,1200.0,1.1770736436392755,True,False,0.0
5,454000.0,1.0,1000.0,6.967221782431545,-5.021852961493507,1200.0,4.0,240.0,1.1981746329977794,True,False,0.0
6,45400.0,2.0,100.0,3.8630733547850404,-2.1162600763906574,240.0,8.0,300.0,1.198856758858322,False,True,1.0
7,454000.0,3.0,10000.0,2.162735749367783,-2.2088494810809487,240.0,3.0,1200.0,1.2432673914849985,True,False,180.0
8,45400000.0,4.0,1000.0,5.2503771959773164,-4.332950069706916,1200.0,10.0,1200.0,1.2331586383502815,False,False,0.0
9,454000.0,1.0,100.0,4.416280223628221,-3.4180064802979144,240.0,3.0,1.0,1.3278322191964713,False,False,7.0
10,4540000.0,3.0,1000.0,5.363780012246686,-2.8138778695636804,1200.0,6.0,240.0,1.3141156187756762,True,True,0.0
11,4540.0,1.0,10000.0,6.276134233667941,-4.376221524183606,120.0,8.0,600.0,1.1329075117850966,True,True,0.0
12,4540000.0,3.0,1000.0,5.130130308403393,-4.666304287816024,1200.0,1.0,60.0,1.3146131961793992,False,False,0.0
13,4540000.0,2.0,10000.0,5.725310526628041,-4.624187220134128,60.0,10.0,600.0,1.358045411784857,False,True,0.0
14,454000000.0,4.0,10000.0,3.5033246200917327,-2.702450891951642,120.0,9.0,120.0,1.3551868381054104,True,False,46632.0
15,4540.0,2.0,10000.0,4.895275827614411,-4.311398228177646,240.0,3.0,1.0,1.2178539005826985,True,True,0.0
16,4540.0,4.0,10000.0,5.255282224043289,-4.660470103962321,600.0,7.0,300.0,1.2618008992555814,False,True,0.0
17,4540000.0,2.0,10000.0,5.166624538829314,-4.1494359990686,240.0,1.0,240.0,1.1041023891308908,False,False,0.0
18,454000.0,1.0,1000.0,3.709186305558724,-3.7737395312426143,1200.0,8.0,300.0,1.1255343351346447,False,False,6.0
19,45400000.0,1.0,10000.0,7.340297849381952,-5.12658567362984,60.0,7.0,1200.0,1.377841419162358,True,True,0.0
20,454000.0,3.0,10000.0,6.309611839385838,-4.357214927069062,60.0,5.0,1.0,1.3582756031751844,True,True,0.0
21,45400000.0,3.0,10000.0,6.085646648036905,-5.5611127183995634,60.0,10.0,300.0,1.389788295594507,False,False,0.0
22,45400000.0,1.0,100000.0,5.336272655932179,-3.7880000495895825,60.0,4.0,1.0,1.2349681355269462,False,False,0.0
23,454000.0,4.0,1000.0,6.007008499043701,-4.4308189006385605,120.0,9.0,120.0,1.2660873598602493,True,False,0.0
24,45400000.0,1.0,100.0,5.516746009146633,-5.2789251076786385,120.0,9.0,1200.0,1.340057215043268,True,False,0.0
25,454000000.0,4.0,100.0,4.933264687354981,-2.9611853028020843,120.0,9.0,600.0,1.3511126037952348,True,False,0.0
26,45400000.0,4.0,100.0,3.0887288929050203,-2.176832663642685,1200.0,5.0,60.0,1.3810967391772289,True,True,5183.0
27,4540000.0,1.0,100000.0,4.884479979293182,-4.305301072894104,600.0,7.0,240.0,1.169721770979498,False,True,0.0
28,45400.0,1.0,100000.0,2.761161574494004,-1.4247809871288322,240.0,2.0,1200.0,1.1237484207400645,False,True,4.0
29,454000.0,3.0,10000.0,3.442804727431956,-1.2178674388452269,60.0,10.0,240.0,1.3564418383002286,True,True,419.0
30,4540000.0,4.0,10000.0,5.427185174623638,-4.800728889371887,240.0,6.0,600.0,1.1841754049010345,False,True,0.0
31,4540000.0,1.0,100000.0,6.856858639421295,-4.661080183587469,120.0,1.0,600.0,1.106388176453414,False,False,0.0
32,45400.0,2.0,10000.0,3.447137866292554,-1.3541582337721514,240.0,10.0,300.0,1.2349208183425098,False,False,144.0
33,4540.0,1.0,1000.0,4.1243755021378785,-3.6540594848686108,120.0,4.0,240.0,1.2408136467877553,False,True,0.0
34,45400.0,1.0,10000.0,2.5435924344443372,-2.018196208483218,1200.0,10.0,240.0,1.3316534390952963,False,True,0.0
35,4540000.0,4.0,10000.0,6.386560853848708,-4.5041255035178835,1200.0,3.0,1200.0,1.3059186872285193,True,False,0.0
36,45400.0,1.0,1000.0,6.4762521389545,-5.158755449050798,120.0,3.0,240.0,1.2209051828016795,False,False,0.0
37,4540000.0,1.0,10000.0,4.079598964386625,-4.175184629945521,600.0,9.0,1200.0,1.2807443378679162,False,False,0.0
38,4540.0,3.0,100.0,4.913229431661621,-2.6714928953326402,120.0,10.0,600.0,1.1638425927024076,True,True,0.0
39,4540000.0,1.0,100000.0,4.545643349641761,-3.4561962893523006,1200.0,9.0,240.0,1.2687974976073695,True,False,0.0
40,4540.0,4.0,100.0,3.888799525474697,-2.2086145011925145,60.0,7.0,240.0,1.2886610721005993,False,False,0.0
41,45400.0,4.0,1000.0,4.189222907417231,-3.2011190008702255,600.0,5.0,120.0,1.2117419051042408,False,False,0.0
42,454000.0,2.0,1000.0,3.6962971268499163,-2.5952185086641504,60.0,5.0,1200.0,1.1381212795011482,False,False,105.0
43,454000.0,3.0,1000.0,4.247042641278928,-2.285763114333506,120.0,3.0,1200.0,1.199869897677092,False,False,0.0
44,454000000.0,4.0,1000.0,6.055948801134278,-4.886369472931816,240.0,6.0,1.0,1.2763680551756607,True,True,551.0
45,45400000.0,1.0,100.0,6.175528391578875,-5.599484581086384,60.0,6.0,240.0,1.3176549370309172,False,True,0.0
46,4540000.0,1.0,100.0,3.451241041188079,-2.537330393293172,120.0,8.0,300.0,1.3108274938002409,False,False,737.0
47,4540000.0,1.0,1000.0,6.071484287615298,-4.563905818482652,120.0,1.0,300.0,1.2588142340439457,True,False,0.0
48,45400000.0,1.0,100000.0,4.427957398840899,-4.253133691780331,120.0,4.0,300.0,1.3066805052696795,True,True,0.0
49,45400.0,2.0,10000.0,3.7283898123254895,-2.7842665111174365,240.0,3.0,300.0,1.304009715232247,True,False,0.0
50,4540.0,2.0,1000.0,4.0543286549907,-2.414877859703669,1200.0,6.0,300.0,1.3271967376923817,True,False,0.0
51,45400000.0,4.0,10000.0,3.463457665945817,-2.0220542479319987,60.0,2.0,1200.0,1.1934887227749649,False,False,29327.0
52,454000000.0,1.0,10000.0,3.485024386744713,-2.042336456842459,240.0,5.0,300.0,1.1138216714843991,False,True,103625.0
53,454000000.0,3.0,1000.0,5.946341000376965,-5.627412487197922,1200.0,3.0,300.0,1.2850547671811543,True,False,0.0
54,454000.0,1.0,100000.0,4.86956047409468,-4.187322439256824,600.0,1.0,1.0,1.3510740369749075,False,True,0.0
55,454000000.0,2.0,100.0,4.391354836442323,-3.1368275399935266,600.0,10.0,60.0,1.2534834698743753,True,True,0.0
56,454000.0,1.0,100.0,3.827948964871392,-2.169366516646637,120.0,7.0,1.0,1.2778230743275174,False,True,62.0
57,4540000.0,2.0,100.0,4.806829632007174,-4.508847396670498,1200.0,2.0,240.0,1.2818770620544797,True,False,0.0
58,4540000.0,2.0,10000.0,4.090705681098267,-1.7161974637431865,600.0,7.0,1200.0,1.3008301878369624,True,True,0.0
59,45400000.0,4.0,100.0,4.285995883253497,-3.1460371878792537,1200.0,3.0,120.0,1.3273275858734508,False,True,0.0
60,4540000.0,3.0,1000.0,6.24709770022146,-5.749296824224157,60.0,5.0,300.0,1.3590176955584095,False,True,0.0
61,45400.0,4.0,10000.0,4.336962207950433,-2.7387813696867993,60.0,4.0,240.0,1.3889163324659808,False,False,0.0
62,4540.0,4.0,100.0,3.127020885095501,-2.1705191112591726,600.0,3.0,300.0,1.1195953603610103,True,False,0.0
63,4540.0,2.0,100.0,4.1414274252345376,-2.6763473544207663,120.0,2.0,60.0,1.138439873468164,False,True,0.0
64,45400000.0,3.0,100.0,4.214062358414607,-2.2040529926940633,120.0,7.0,120.0,1.1420487918554325,False,True,0.0
65,454000.0,1.0,100.0,3.6343865935895416,-2.5100951359765786,240.0,6.0,1200.0,1.389776041573184,False,True,16.0
66,4540000.0,3.0,10000.0,6.0624423736928215,-5.074557185377309,1200.0,9.0,300.0,1.2802758430175287,False,False,0.0
