,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,PHS4d,PHS4h,PHSInt,HS,RS,FPS,CS,TotalCFUFP,PropCont
865,100000.0,10000.0,2.0589361705623292,-0.8052984600401066,3.1489800608941274,16.3499954146297,0.5391357001904683,3.5627121349234585,False,5.6092981256348065,4.334361173313766,1.325172293298087,True,False,1.325172293298087,0.19846674704612796,0.0027329133800067123,0.0,7500.0,-4.0,0.17978491502871086,0.007939694829563134,0.25,2500.0,-3.0,0.14647303254629046,0.0009779512211396334,0.0,5000.0,-4.0,0.2707312729221335,0.006397468751798035,0.0,2500.0,-2.0,24.0,5.1729039416748845,63.57,3.242128440610095,24.0,4.0,False,False,False,False,True,False,False,366.0,0.0137
866,100000.0,1000.0,4.029115898090053,-3.707161502086895,2.041515804181718,15.309267669433149,0.499634124480039,3.435726509105291,False,6.087870090132465,4.9961854133971855,1.4532088772319658,True,False,1.4532088772319658,0.2259177606057682,0.0025692833208321355,0.75,7500.0,-1.0,0.1899140470391183,0.0065687082101757235,0.5,7500.0,-4.0,0.21337571820174092,0.0012699364712488457,0.25,2500.0,-3.0,0.24536342616259058,0.002259340555148448,0.0,2500.0,-1.0,24.0,4.664199858252273,63.57,1.236347883436584,24.0,4.0,False,False,False,False,False,False,True,0.0,0.0
867,100000.0,1000.0,2.0424510355961414,-1.6602674412143343,3.1800908802830374,16.97681030045285,0.5135566347106212,3.136328059779791,True,5.38390690611898,4.07459152109985,1.2608362408506344,True,False,1.2608362408506344,0.20504970187217866,0.002793516049717287,0.25,7500.0,-4.0,0.17962914174359534,0.009140218788289557,0.5,5000.0,-1.0,0.11910670378993875,0.001396895707164354,0.25,7500.0,-3.0,0.2508586711403475,0.010437532242506792,0.25,2500.0,-3.0,24.0,5.0804093470239895,63.57,0.9638591174684394,24.0,4.0,False,False,False,False,False,False,True,57.0,0.00275
868,100000.0,100000.0,2.344551178645464,-1.45291306313403,2.0171640883734603,16.503785522701346,0.5488593385510383,3.249203606256981,False,5.823737012901459,4.331607461859036,1.2102106080541861,True,True,1.2102106080541861,0.19374853011823065,0.0020830593340428584,0.5,2500.0,-3.0,0.18725221870444084,0.010240841639010963,0.0,5000.0,-3.0,0.2573696965456549,0.00039273364768151257,0.75,2500.0,-4.0,0.28402984690999045,0.0010703779893332728,0.0,2500.0,-2.0,24.0,5.3355651940064295,63.57,4.125412698805713,24.0,4.0,False,False,False,False,True,False,False,4.0,0.0002
869,100000.0,1000.0,2.077078445805974,-1.6630419526402855,2.7794999582048954,16.960400026349323,0.431786802625265,3.427618899179043,True,5.588450860504606,5.340849140983296,1.227133304488568,False,True,1.227133304488568,0.22356021633824005,0.0035422293365560617,0.25,2500.0,-3.0,0.17342672770232495,0.004301571789737459,0.25,7500.0,-2.0,0.2650210285012712,0.000886416370504435,0.5,2500.0,-1.0,0.2705349578275066,0.004341874716803995,0.5,2500.0,-3.0,24.0,4.796881832155595,63.57,5.108518745525807,24.0,4.0,False,False,False,True,False,False,False,960.0,0.02145
870,100000.0,1000.0,3.8988608822688047,-2.725681776975798,2.3496978902856833,16.314923116814064,0.40683988721525255,3.272418723850427,False,5.052712437206208,5.720936451173368,1.3295331185895978,False,True,1.3295331185895978,0.21937750824111782,0.0016297930836602704,0.75,2500.0,-4.0,0.17543582345002962,0.01137710518074125,0.25,5000.0,-2.0,0.23988529741231443,0.0005156899222229249,1.0,5000.0,-3.0,0.2690949436690663,0.006688880415201702,0.0,7500.0,-1.0,24.0,4.458969910437164,63.57,0.8974918463346971,24.0,4.0,False,False,False,False,True,False,False,23.0,0.00115
871,100000.0,1000.0,4.612097778176269,-4.3214417912436405,3.8017177220749803,15.321359151614343,0.5053022744612231,3.9179191818275774,True,5.3538042203409315,4.924957058630966,1.1534158933882914,False,True,1.1534158933882914,0.1899457831245051,0.0036363898276178435,0.5,7500.0,-3.0,0.16195411655591735,0.004891112594080242,0.75,7500.0,-1.0,0.23143834935627886,0.0012118872062239555,0.0,2500.0,-1.0,0.23753518164955495,0.004086921150382427,0.5,2500.0,-2.0,24.0,4.448407542720622,63.57,2.985837182337471,24.0,4.0,False,False,False,True,False,False,False,0.0,0.0
872,100000.0,1000.0,2.9410715367872355,-1.820153778288951,3.1112570364335044,16.816215431673903,0.5233115466738724,3.727046762767663,True,6.6844352158096605,4.198213612293552,1.1364239305677526,True,False,1.1364239305677526,0.1859928222496997,0.0010729033981959671,0.75,2500.0,-1.0,0.20047746328680904,0.0059394113548443764,0.75,7500.0,-1.0,0.26143601420812457,0.0009583610204163388,0.25,2500.0,-3.0,0.27159616334298253,0.005487751355537468,1.0,5000.0,-4.0,24.0,4.014787057353983,63.57,3.6959071984427414,24.0,4.0,True,False,False,False,False,False,False,28.0,0.00135
873,100000.0,1000.0,3.0663502497285866,-2.375641743489492,2.472982965980722,15.263623870728892,0.4187824204273619,3.465616570373447,False,5.415719173275537,4.32502802998323,1.3784158433463218,False,True,1.3784158433463218,0.1992220059545936,0.0040664938600414695,0.75,2500.0,-4.0,0.1773085859469615,0.009701881376975995,0.0,2500.0,-1.0,0.18269281892384368,0.001086053268049494,1.0,2500.0,-1.0,0.24759968247256403,0.010393918287725956,0.0,2500.0,-1.0,24.0,4.105082792804028,63.57,4.247884260600112,24.0,4.0,False,False,False,True,False,False,False,52.0,0.00255
874,100000.0,10000.0,6.511460739875226,-6.505317110513104,3.930344035719166,15.839352228896285,0.5987337078150209,3.66915203798231,False,6.109169586370998,5.505182709606024,1.2182656359144777,True,True,1.2182656359144777,0.21108073387583315,0.002899666025229974,0.75,5000.0,-2.0,0.20501724941361366,0.003689896003381309,0.25,2500.0,-3.0,0.28981343350649164,0.0010570698236879424,0.5,2500.0,-2.0,0.25961734584634477,0.007964349549191499,0.5,7500.0,-4.0,24.0,4.335253779583628,63.57,2.5078240334972977,24.0,4.0,False,True,False,False,False,False,False,0.0,0.0
