"","Type","Mass","variable","Cont","mean","CI_95","CI_05"
"66","Preharvest","60 Tomato Mash","Power_Pick_2","10%",0.145,0.19,0.109
"67","Preharvest","60 Tomato Mash","Power_Pick_2","1%",0.11,0.12,0.088
"68","Preharvest","60 Tomato Mash","Power_Pick_2","0.1%",0.02,0.06,0
"69","Preharvest","60 Tomato Mash","Power_Pick_3","100%",0.16,0.201,0.129
"70","Preharvest","60 Tomato Mash","Power_Pick_3","10%",0.13,0.16,0.09
"71","Preharvest","60 Tomato Mash","Power_Pick_3","1%",0.095,0.133,0.078
"72","Preharvest","60 Tomato Mash","Power_Pick_3","0.1%",0.025,0.05,0
"73","Harvest","2 Tomatoes","Power_Pick_1","100%",0.06,0.092,0.039
"74","Harvest","2 Tomatoes","Power_Pick_1","10%",0.025,0.05,0
"75","Harvest","2 Tomatoes","Power_Pick_1","1%",0.005,0.021,0
"76","Harvest","2 Tomatoes","Power_Pick_1","0.1%",0,0,0
"77","Harvest","2 Tomatoes","Power_Pick_2","100%",0.06,0.091,0.029
"78","Harvest","2 Tomatoes","Power_Pick_2","10%",0.035,0.06,0.01
"79","Harvest","2 Tomatoes","Power_Pick_2","1%",0.005,0.01,0
"80","Harvest","2 Tomatoes","Power_Pick_2","0.1%",0,0,0
"81","Harvest","2 Tomatoes","Power_Pick_3","100%",0.06,0.1,0.04
"82","Harvest","2 Tomatoes","Power_Pick_3","10%",0.035,0.05,0.019
"83","Harvest","2 Tomatoes","Power_Pick_3","1%",0.01,0.03,0
"84","Harvest","2 Tomatoes","Power_Pick_3","0.1%",0,0,0
"85","Harvest","6 Tomatoes","Power_Pick_1","100%",0.14,0.181,0.117
"86","Harvest","6 Tomatoes","Power_Pick_1","10%",0.07,0.11,0.05
"87","Harvest","6 Tomatoes","Power_Pick_1","1%",0.02,0.05,0
"88","Harvest","6 Tomatoes","Power_Pick_1","0.1%",0,0.01,0
"89","Harvest","6 Tomatoes","Power_Pick_2","100%",0.135,0.182,0.09
"90","Harvest","6 Tomatoes","Power_Pick_2","10%",0.09,0.14,0.05
"91","Harvest","6 Tomatoes","Power_Pick_2","1%",0.02,0.04,0.01
"92","Harvest","6 Tomatoes","Power_Pick_2","0.1%",0,0.01,0
"93","Harvest","6 Tomatoes","Power_Pick_3","100%",0.13,0.17,0.089
"94","Harvest","6 Tomatoes","Power_Pick_3","10%",0.07,0.111,0.058
"95","Harvest","6 Tomatoes","Power_Pick_3","1%",0.02,0.05,0.01
"96","Harvest","6 Tomatoes","Power_Pick_3","0.1%",0,0.01,0
"97","Harvest","20 Tomatoes","Power_Pick_1","100%",0.24,0.29,0.189
"98","Harvest","20 Tomatoes","Power_Pick_1","10%",0.17,0.224,0.139
"99","Harvest","20 Tomatoes","Power_Pick_1","1%",0.045,0.071,0.019
"100","Harvest","20 Tomatoes","Power_Pick_1","0.1%",0.01,0.01,0
"101","Harvest","20 Tomatoes","Power_Pick_2","100%",0.22,0.301,0.179
"102","Harvest","20 Tomatoes","Power_Pick_2","10%",0.195,0.251,0.15
"103","Harvest","20 Tomatoes","Power_Pick_2","1%",0.075,0.09,0.04
"104","Harvest","20 Tomatoes","Power_Pick_2","0.1%",0.01,0.011,0
"105","Harvest","20 Tomatoes","Power_Pick_3","100%",0.225,0.27,0.179
"106","Harvest","20 Tomatoes","Power_Pick_3","10%",0.18,0.222,0.129
"107","Harvest","20 Tomatoes","Power_Pick_3","1%",0.065,0.101,0.039
"108","Harvest","20 Tomatoes","Power_Pick_3","0.1%",0.01,0.021,0
"109","Harvest","60 Tomatoes","Power_Pick_1","100%",0.3,0.361,0.23
"110","Harvest","60 Tomatoes","Power_Pick_1","10%",0.265,0.323,0.19
"111","Harvest","60 Tomatoes","Power_Pick_1","1%",0.125,0.191,0.09
"112","Harvest","60 Tomatoes","Power_Pick_1","0.1%",0.02,0.04,0
"113","Harvest","60 Tomatoes","Power_Pick_2","100%",0.31,0.362,0.25
"114","Harvest","60 Tomatoes","Power_Pick_2","10%",0.265,0.32,0.219
"115","Harvest","60 Tomatoes","Power_Pick_2","1%",0.175,0.221,0.128
"116","Harvest","60 Tomatoes","Power_Pick_2","0.1%",0.04,0.06,0.01
"117","Harvest","60 Tomatoes","Power_Pick_3","100%",0.285,0.321,0.253
"118","Harvest","60 Tomatoes","Power_Pick_3","10%",0.255,0.282,0.207
"119","Harvest","60 Tomatoes","Power_Pick_3","1%",0.15,0.191,0.079
"120","Harvest","60 Tomatoes","Power_Pick_3","0.1%",0.03,0.051,0.02
"121","Harvest","20 Tomato Mash","Power_Pick_1","100%",0.085,0.12,0.05
