,Cont,Pick,Type,Mass,Cont Type,HI
41,59535.0,2.0,PH,1 Tomato,Uniform,153778.0
42,264.0,2.0,PH,1 Tomato,Uniform,153778.0
43,0.0,2.0,PH,1 Tomato,Uniform,153778.0
44,0.0,2.0,PH,1 Tomato,Uniform,153778.0
45,0.0,2.0,PH,1 Tomato,Uniform,153778.0
46,76698.0,2.0,PH,1 Tomato,Uniform,153778.0
47,0.0,2.0,PH,1 Tomato,Uniform,153778.0
48,0.0,2.0,PH,1 Tomato,Uniform,153778.0
49,3050.0,2.0,PH,1 Tomato,Uniform,153778.0
0,118998.0,3.0,PH,1 Tomato,Uniform,153778.0
1,1620.0,3.0,PH,1 Tomato,Uniform,153778.0
2,0.0,3.0,PH,1 Tomato,Uniform,153778.0
3,32978.0,3.0,PH,1 Tomato,Uniform,153778.0
4,55054.0,3.0,PH,1 Tomato,Uniform,153778.0
5,119079.0,3.0,PH,1 Tomato,Uniform,153778.0
6,21.0,3.0,PH,1 Tomato,Uniform,153778.0
7,380.0,3.0,PH,1 Tomato,Uniform,153778.0
8,0.0,3.0,PH,1 Tomato,Uniform,153778.0
9,4.0,3.0,PH,1 Tomato,Uniform,153778.0
10,0.0,3.0,PH,1 Tomato,Uniform,153778.0
11,0.0,3.0,PH,1 Tomato,Uniform,153778.0
12,24.0,3.0,PH,1 Tomato,Uniform,153778.0
13,47.0,3.0,PH,1 Tomato,Uniform,153778.0
14,92171.0,3.0,PH,1 Tomato,Uniform,153778.0
15,359.0,3.0,PH,1 Tomato,Uniform,153778.0
16,0.0,3.0,PH,1 Tomato,Uniform,153778.0
17,0.0,3.0,PH,1 Tomato,Uniform,153778.0
18,15308.0,3.0,PH,1 Tomato,Uniform,153778.0
19,97.0,3.0,PH,1 Tomato,Uniform,153778.0
20,346.0,3.0,PH,1 Tomato,Uniform,153778.0
21,32906.0,3.0,PH,1 Tomato,Uniform,153778.0
22,0.0,3.0,PH,1 Tomato,Uniform,153778.0
23,0.0,3.0,PH,1 Tomato,Uniform,153778.0
24,9.0,3.0,PH,1 Tomato,Uniform,153778.0
25,0.0,3.0,PH,1 Tomato,Uniform,153778.0
26,42655.0,3.0,PH,1 Tomato,Uniform,153778.0
27,462.0,3.0,PH,1 Tomato,Uniform,153778.0
28,33072.0,3.0,PH,1 Tomato,Uniform,153778.0
29,0.0,3.0,PH,1 Tomato,Uniform,153778.0
30,48.0,3.0,PH,1 Tomato,Uniform,153778.0
31,456.0,3.0,PH,1 Tomato,Uniform,153778.0
32,25961.0,3.0,PH,1 Tomato,Uniform,153778.0
33,85.0,3.0,PH,1 Tomato,Uniform,153778.0
34,0.0,3.0,PH,1 Tomato,Uniform,153778.0
35,20.0,3.0,PH,1 Tomato,Uniform,153778.0
36,9.0,3.0,PH,1 Tomato,Uniform,153778.0
37,33099.0,3.0,PH,1 Tomato,Uniform,153778.0
38,0.0,3.0,PH,1 Tomato,Uniform,153778.0
39,200.0,3.0,PH,1 Tomato,Uniform,153778.0
40,0.0,3.0,PH,1 Tomato,Uniform,153778.0
41,1732.0,3.0,PH,1 Tomato,Uniform,153778.0
42,2.0,3.0,PH,1 Tomato,Uniform,153778.0
43,3600.0,3.0,PH,1 Tomato,Uniform,153778.0
44,43031.0,3.0,PH,1 Tomato,Uniform,153778.0
45,33066.0,3.0,PH,1 Tomato,Uniform,153778.0
46,0.0,3.0,PH,1 Tomato,Uniform,153778.0
47,4697.0,3.0,PH,1 Tomato,Uniform,153778.0
48,153778.0,3.0,PH,1 Tomato,Uniform,153778.0
49,91.0,3.0,PH,1 Tomato,Uniform,153778.0
0,0.0,1.0,PH,1 Tomato,Uniform,121737.0
1,0.0,1.0,PH,1 Tomato,Uniform,121737.0
2,0.0,1.0,PH,1 Tomato,Uniform,121737.0
3,0.0,1.0,PH,1 Tomato,Uniform,121737.0
4,40671.0,1.0,PH,1 Tomato,Uniform,121737.0
5,0.0,1.0,PH,1 Tomato,Uniform,121737.0
6,0.0,1.0,PH,1 Tomato,Uniform,121737.0
7,0.0,1.0,PH,1 Tomato,Uniform,121737.0
8,0.0,1.0,PH,1 Tomato,Uniform,121737.0
9,6777.0,1.0,PH,1 Tomato,Uniform,121737.0
10,31386.0,1.0,PH,1 Tomato,Uniform,121737.0
11,0.0,1.0,PH,1 Tomato,Uniform,121737.0
12,0.0,1.0,PH,1 Tomato,Uniform,121737.0
13,0.0,1.0,PH,1 Tomato,Uniform,121737.0
14,0.0,1.0,PH,1 Tomato,Uniform,121737.0
15,0.0,1.0,PH,1 Tomato,Uniform,121737.0
16,0.0,1.0,PH,1 Tomato,Uniform,121737.0
17,0.0,1.0,PH,1 Tomato,Uniform,121737.0
18,5234.0,1.0,PH,1 Tomato,Uniform,121737.0
19,0.0,1.0,PH,1 Tomato,Uniform,121737.0
20,0.0,1.0,PH,1 Tomato,Uniform,121737.0
21,4060.0,1.0,PH,1 Tomato,Uniform,121737.0
22,0.0,1.0,PH,1 Tomato,Uniform,121737.0
23,5348.0,1.0,PH,1 Tomato,Uniform,121737.0
24,0.0,1.0,PH,1 Tomato,Uniform,121737.0
25,3160.0,1.0,PH,1 Tomato,Uniform,121737.0
26,0.0,1.0,PH,1 Tomato,Uniform,121737.0
27,14742.0,1.0,PH,1 Tomato,Uniform,121737.0
28,0.0,1.0,PH,1 Tomato,Uniform,121737.0
29,0.0,1.0,PH,1 Tomato,Uniform,121737.0
30,0.0,1.0,PH,1 Tomato,Uniform,121737.0
31,0.0,1.0,PH,1 Tomato,Uniform,121737.0
32,0.0,1.0,PH,1 Tomato,Uniform,121737.0
33,0.0,1.0,PH,1 Tomato,Uniform,121737.0
34,40686.0,1.0,PH,1 Tomato,Uniform,121737.0
35,0.0,1.0,PH,1 Tomato,Uniform,121737.0
36,0.0,1.0,PH,1 Tomato,Uniform,121737.0
37,0.0,1.0,PH,1 Tomato,Uniform,121737.0
38,0.0,1.0,PH,1 Tomato,Uniform,121737.0
39,0.0,1.0,PH,1 Tomato,Uniform,121737.0
40,11483.0,1.0,PH,1 Tomato,Uniform,121737.0
41,0.0,1.0,PH,1 Tomato,Uniform,121737.0
42,0.0,1.0,PH,1 Tomato,Uniform,121737.0
43,0.0,1.0,PH,1 Tomato,Uniform,121737.0
44,0.0,1.0,PH,1 Tomato,Uniform,121737.0
45,6699.0,1.0,PH,1 Tomato,Uniform,121737.0
46,0.0,1.0,PH,1 Tomato,Uniform,121737.0
47,0.0,1.0,PH,1 Tomato,Uniform,121737.0
48,0.0,1.0,PH,1 Tomato,Uniform,121737.0
49,11219.0,1.0,PH,1 Tomato,Uniform,121737.0
0,0.0,2.0,PH,1 Tomato,Uniform,121737.0
1,46981.0,2.0,PH,1 Tomato,Uniform,121737.0
2,16933.0,2.0,PH,1 Tomato,Uniform,121737.0
3,0.0,2.0,PH,1 Tomato,Uniform,121737.0
4,1124.0,2.0,PH,1 Tomato,Uniform,121737.0
5,0.0,2.0,PH,1 Tomato,Uniform,121737.0
6,10208.0,2.0,PH,1 Tomato,Uniform,121737.0
7,0.0,2.0,PH,1 Tomato,Uniform,121737.0
