,InitialCont,ClusterSize,Time_CE_H,Time_H_PC,Temp_H_PC,Time_Precooling,Temp_Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,ChSpray_eff,TotalRedPre_wash,TotalRed_wash,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
858,100000.0,100000.0,4.046779809321009,2.2009793622497553,15.393793339796584,0.43337209733174764,3.822614029575324,True,0.0,5.827886097211415,1.258936486065235,-0.9542425094393249,inf,0.21829777011166596,0.0024137493680576887,0.0,5000.0,-2.0,0.19198645810211074,0.005491344545615082,0.75,7500.0,-4.0,0.26941591266153636,0.0033047054074122357,0.0,7500.0,-2.0,0.2666106771619914,0.008852582152812469,0.25,7500.0,-1.0,0.5829312256777474,5.383366231259118,55.35990192239022,3.9660674101893165,56.091143856030456,6.058799353168669,0.0,0.0
859,100000.0,1000.0,2.2414890416141713,3.9701446739096733,15.760297003628983,0.46789982665694174,3.2198235480510604,True,0.0,4.5863122067218205,1.2478909126484843,-1.2410211976224268,1.3921104650113139,0.1707867584236084,0.00034931204591913867,0.5,2500.0,-1.0,0.20457588213404812,0.01098235430549178,0.75,2500.0,-2.0,0.28084920783339645,0.0010455352442918643,0.25,2500.0,-1.0,0.26350343648706254,0.011909389189424144,0.5,5000.0,-1.0,0.9334311897282573,4.046643946505646,70.11453530025634,2.3950387764793515,52.91290243081275,4.514328509012261,1.0,5e-05
860,100000.0,1000.0,3.457224049774297,3.822056277468123,15.571029661807398,0.574131696424578,3.531198991999381,True,0.0,5.808175609971402,1.3034999136094163,-1.372883021989688,1.2587056809417,0.18496624171740042,0.0028040069614215634,0.75,5000.0,-2.0,0.19122044836041568,0.004085857421143694,0.25,5000.0,-4.0,0.1413845592551607,0.0014872054580212747,1.0,2500.0,-3.0,0.2835933695602892,0.0024231165264626347,1.0,2500.0,-2.0,0.6521705211636272,5.095597133651541,53.851385136133025,1.2854397553735672,56.844241427103675,7.854542690550973,4.0,0.0002
861,100000.0,10000.0,5.140690621237377,2.82925197487719,15.789745989209058,0.40496340814570736,3.142696005167654,True,0.0,4.222214470316306,1.3503492065001472,-inf,,0.17470995509348586,0.0015342370161257441,1.0,2500.0,-3.0,0.16735506509416215,0.008888086211938845,1.0,7500.0,-1.0,0.26557186529942545,0.0009237846957355798,1.0,5000.0,-4.0,0.26083987072430204,0.007856086466353392,0.25,7500.0,-2.0,0.2782189015668074,5.658728088455416,55.6654023043867,2.770691760129446,40.0172886668703,8.922898826654533,0.0,0.0
862,100000.0,100000.0,7.363003988375845,3.818491838928692,15.015541160335502,0.47462219448207266,3.435894800273032,True,0.0,5.977592480423604,1.3765895817480511,,,0.21104816221886447,0.0009460497192754205,0.75,5000.0,-1.0,0.2142300369208229,0.0043903585177530405,0.75,2500.0,-2.0,0.2608993330499211,0.0016486095194763908,0.25,2500.0,-1.0,0.297012256466958,0.00554436489652888,0.5,5000.0,-2.0,0.6412154469154838,5.351832564194727,46.16607926628752,2.3688773646711523,41.785830777801166,11.404018776958933,0.0,0.0
863,100000.0,100000.0,5.309042012279338,3.196443495759679,15.725136844176935,0.46775346832254305,3.561732283706697,True,0.0,5.498875902669977,1.243670120399698,-inf,,0.20564740047942234,0.002626268855192583,0.25,5000.0,-3.0,0.16882954136704667,0.005763147752572514,0.0,2500.0,-2.0,0.22534187020778956,0.0009502507231775345,0.0,5000.0,-2.0,0.26890158133772674,0.009457765379441301,0.75,7500.0,-3.0,0.4707608655289278,5.8010215727042205,78.52050800519422,3.404952974017256,26.783596565383988,9.547235221952572,0.0,0.0
864,100000.0,100000.0,4.609838027109323,2.5840013236801926,16.13450353513414,0.4106522806727772,3.0745623615891127,True,0.0,5.210087666827256,1.4523499173624734,-inf,,0.19651874697269456,0.0008211850126493057,0.5,5000.0,-1.0,0.19935079911063378,0.0055305518582049115,1.0,7500.0,-2.0,0.22457994777877033,0.0017315622891755657,0.75,7500.0,-1.0,0.250454675219669,0.005053489181763885,0.75,5000.0,-3.0,0.22037409332378688,5.800184179413049,77.73102766198687,2.923277251774639,48.21692076344376,4.864212326416385,0.0,0.0
865,100000.0,100000.0,2.0589361705623292,3.1489800608941274,16.3499954146297,0.5391357001904683,3.5627121349234585,True,0.0,4.6092981256348065,1.325172293298087,-1.3516847593383599,1.6857417386022637,0.20491639941973722,0.0020210301016807207,0.75,2500.0,-3.0,0.18418370987928917,0.012288469532267211,0.5,5000.0,-1.0,0.14647303254629046,0.0009779512211396334,0.0,5000.0,-4.0,0.2707312729221335,0.006397468751798035,0.0,2500.0,-2.0,0.5864519708374423,4.875949735451071,50.17823950315284,0.8030260617311988,46.865235764137644,4.7883960311284826,1.0,5e-05
866,100000.0,10000.0,4.029115898090053,2.041515804181718,15.309267669433149,0.499634124480039,3.435726509105291,True,0.0,5.087870090132465,1.4532088772319658,-1.4978507395784064,inf,0.1731861358811004,0.003990663032710936,0.75,2500.0,-3.0,0.1712784707825383,0.007688579329379209,0.75,5000.0,-4.0,0.17527038556383123,0.001285265422116569,0.75,7500.0,-3.0,0.25276600613236694,0.0054444353946198325,1.0,7500.0,-2.0,0.24802204504659742,4.587590561416162,69.10882071292855,5.197337463860297,38.688462479697854,9.098537832283697,0.0,0.0
867,100000.0,1000.0,2.0424510355961414,3.1800908802830374,16.97681030045285,0.5135566347106212,3.136328059779791,True,0.0,4.38390690611898,1.2608362408506344,-1.2304489213782739,1.1064553309142868,0.18127557583613774,0.002344485989770216,0.75,2500.0,-4.0,0.16686863898842652,0.010634248997929946,0.0,2500.0,-4.0,0.2151408378852971,0.0023191444024823387,0.25,7500.0,-3.0,0.2508586711403475,0.010437532242506792,0.25,2500.0,-3.0,0.5402046735119947,4.077418699860587,65.29464356794779,1.8761576257305335,44.27861474311314,6.3705095154600855,2.0,0.0001
