,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,OptimizeWashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,PHS4d,PHS4h,PHSInt,HS,RS,FPS,CS,TotalCFUFP,PropCont
645,100000.0,1000.0,5.54032621721218,-2.53172820670576,2.944280851716033,15.071601365581422,0.5050918702517442,3.4676139058578124,False,6.805015121902503,4.593453780171449,1.3810675553508447,True,False,False,1.3810675553508447,0.2488661539761287,0.000947050366822597,0.0,0.0,0.0,0.18421455484053587,0.008829965133050007,0.0,0.0,0.0,0.10576463903628328,0.0014107489475112525,0.0,0.0,0.0,0.2789907194438595,0.0023113552041909174,0.0,0.0,0.0,24.0,4.0136194229755064,63.57,3.330985494204583,24.0,4.0,False,False,False,False,False,True,False,1.0,5e-05
646,100000.0,1000.0,7.01330772693402,-3.0322748837941784,3.2589931199973754,15.256043111045521,0.4137855459018988,3.179221089930449,False,6.529491291940806,5.352238529566083,1.177775633943433,True,True,True,1.177775633943433,0.19550576106468176,0.004316777636223624,0.0,0.0,0.0,0.18865364890133265,0.004924232512045745,0.0,0.0,0.0,0.21673026079476826,0.0003056877001824155,0.0,0.0,0.0,0.27497680203034486,0.004271014676283935,0.0,0.0,0.0,24.0,5.727803315768816,63.57,4.002079291318804,24.0,4.0,False,False,False,False,False,True,False,1.0,5e-05
647,100000.0,1000.0,3.6932745385692365,-2.8552295052964,2.9417023806523135,15.999323848710775,0.43288430546583,3.449399787137695,False,6.850491027329591,5.005904675948352,1.1609938229794647,True,False,False,1.1609938229794647,0.17180366561307944,0.001377427675595709,0.0,0.0,0.0,0.18099584398293964,0.009097486340573818,0.0,0.0,0.0,0.2553623562399959,0.0011354299986124096,0.0,0.0,0.0,0.28252088184266144,0.0022204169963647375,0.0,0.0,0.0,24.0,4.057190971632764,63.57,4.003461216947088,24.0,4.0,False,False,False,False,True,False,False,2.0,0.0001
648,100000.0,1000.0,3.575296211625305,-3.3618452249114172,3.5993664559658454,15.205485376416702,0.5761651434123398,3.443570610747574,False,6.413701685602049,4.340246302272197,1.1259069819269458,False,False,False,1.1259069819269458,0.21212227414742668,0.001622016137120729,0.0,0.0,0.0,0.20316137753360147,0.01334961693949882,0.0,0.0,0.0,0.2583372147617291,0.0009892908113966381,0.0,0.0,0.0,0.2727247576139975,0.002769043648221098,0.0,0.0,0.0,24.0,5.148894128466411,63.57,2.3471522005715464,24.0,4.0,False,False,False,True,False,False,False,21.0,0.00095
649,100000.0,10000.0,1.3636514254330576,-0.8128699679880946,2.5812896776292225,16.844717773834965,0.44759204347494147,3.73246403969139,False,5.545886699671068,5.50363309368146,1.422641740627776,False,False,False,1.422641740627776,0.18739628079561044,0.0028656107451088277,0.0,0.0,0.0,0.17932181995439053,0.003195276472687795,0.0,0.0,0.0,0.18272082470934964,0.002829541087719072,0.0,0.0,0.0,0.2877060899384575,0.010863883498578386,0.0,0.0,0.0,24.0,4.352849988850127,63.57,0.20650498622057187,24.0,4.0,False,False,False,False,False,True,False,4384.0,0.0945
650,100000.0,100000.0,6.039909054645944,-4.526118647801477,3.181187773103509,16.289342553243166,0.5214006855426475,3.6128770019475764,True,6.01673716690909,4.3306300765986645,1.2034954564180738,False,True,False,1.2034954564180738,0.23302516929413106,0.0029817723973547287,0.0,0.0,0.0,0.16179230186320234,0.006489183185708964,0.0,0.0,0.0,0.2611117786483768,0.0017043125759016822,0.0,0.0,0.0,0.25763681245057435,0.00977721999298766,0.0,0.0,0.0,24.0,4.015123486095651,63.57,2.161293396167472,24.0,4.0,False,False,False,False,False,True,False,1.0,5e-05
651,100000.0,100000.0,3.221662014323143,-2.1081538565997184,3.8755547525413716,15.61488001407671,0.5496623181492479,3.338748089992812,False,6.618624178463774,4.432001351073553,1.3702122297549229,False,True,False,1.3702122297549229,0.19836084611327368,0.0011349379649858657,0.0,0.0,0.0,0.184241165795337,0.008862357698001835,0.0,0.0,0.0,0.1266534817115187,0.002223238147122014,0.0,0.0,0.0,0.29597852299488303,0.0037436589736224383,0.0,0.0,0.0,24.0,4.282676845354272,63.57,3.880119701577021,24.0,4.0,False,False,False,False,True,False,False,12.0,0.0006
652,100000.0,100000.0,3.6760534422571336,-3.632053638694167,2.5866672033463,16.91346183770632,0.45673046746356,3.8195634593321035,False,5.63041634365433,4.395979783887748,1.286830111203645,False,True,True,1.286830111203645,0.24317063017810062,0.0033333948718717653,0.0,0.0,0.0,0.18189754611429929,0.0048958514220745885,0.0,0.0,0.0,0.28761502989708315,0.001379126312833798,0.0,0.0,0.0,0.28976214304317743,0.0018190142831194106,0.0,0.0,0.0,24.0,4.523045021866667,63.57,2.6761148988111176,24.0,4.0,True,False,False,False,False,False,False,0.0,0.0
653,100000.0,1000.0,3.9680508394256955,-3.231506518065455,2.2972051863261633,16.79861496107092,0.5631141592887511,3.50394943614175,True,5.90350618682632,5.105331044321054,1.4530709487501603,False,True,False,1.4530709487501603,0.1725639846419624,0.003642923487827754,0.0,0.0,0.0,0.19060644926115375,0.007617104676166406,0.0,0.0,0.0,0.12418412246317814,0.0013008901599957019,0.0,0.0,0.0,0.2923243761708631,0.014479693633408872,0.0,0.0,0.0,24.0,5.3214443752422085,63.57,5.685843895611032,24.0,4.0,False,False,False,False,False,False,True,0.0,0.0
654,100000.0,100000.0,3.5686142349456254,-3.529240454776998,2.8631294918506933,16.66670577647504,0.5483756894760706,3.667008676641782,False,6.323450337524212,5.31559889595372,1.3365090178208299,True,False,False,1.3365090178208299,0.21547947153789826,0.004714614053127053,0.0,0.0,0.0,0.20589193205155348,0.005278132134621886,0.0,0.0,0.0,0.26942321648022527,0.002021209179528663,0.0,0.0,0.0,0.2681424293071979,0.00981318250921891,0.0,0.0,0.0,24.0,4.785585043408873,63.57,4.961775591666102,24.0,4.0,False,True,False,False,False,False,False,0.0,0.0
